source;target;weight
adirtu [fear, gloominess,];arurtu [famine,];0.031
adirtu [fear, gloominess,];pirittu [terror,];0.026
adirtu [fear, gloominess,];hūṣu [pain,];0.026
adirtu [fear, gloominess,];ašuštu [affliction,];0.021
adirtu [fear, gloominess,];gilittu [terror,];0.017
adirtu [fear, gloominess,];hātu [terror, the sign HAD₂,];0.009
adirtu [fear, gloominess,];arratu [curse,];0.009
adirtu [fear, gloominess,];hīpu [break, break(age), purified,];0.008
adirtu [fear, gloominess,];Urim_P [?];0.008
adirtu [fear, gloominess,];antalû [eclipse,];0.007
adirtu [fear, gloominess,];zakû [be(come) clear, clear, pure,];0.007
adirtu [fear, gloominess,];lapātu [touch,];0.006
adirtu [fear, gloominess,];ištānu [North, north, north wind,];0.006
adirtu [fear, gloominess,];šaplu [low, low(er), lower one, underside,];0.006
adirtu [fear, gloominess,];nīšu [(oath on the) life, life, lifting,];0.005
adirtu [fear, gloominess,];tebû [arise, arisen, get up, rising,];0.005
adirtu [fear, gloominess,];Simanu [Simanu, Sivan,];0.004
adirtu [fear, gloominess,];kullu [hold, holding, nut(-kernel),];0.004
adirtu [fear, gloominess,];adru [afraid, dark, scared, threshing floor,];0.004
adirtu [fear, gloominess,];amurru [Amurru, west, west wind,];0.004
adirtu [fear, gloominess,];libbu [(a kind of bread), inner body, interior,];0.003
adirtu [fear, gloominess,];šakānu [put,];0.003
adirtu [fear, gloominess,];amāru [appear, experience, see,];0.002
adirtu [fear, gloominess,];dâku [kill, killed,];0.002
adirtu [fear, gloominess,];ilu [god,];0.002
adirtu [fear, gloominess,];ahu [arm, brother, side,];0.002
adirtu [fear, gloominess,];elû [go out, go up, high, remove, tall, top, upper, upper part,];0.002
adirtu [fear, gloominess,];awīlu [man,];0.001
adirtu [fear, gloominess,];ūmu [day, storm(-demon),];0.001
adirtu [fear, gloominess,];qātu [hand,];0.001
adirtu [fear, gloominess,];šadû [(a mineral component of glaze), east, east wind, mountain, mountain(s),];0.001
adru [afraid, dark, scared, threshing floor,];šutadduru [constantly terrified,];0.022
adru [afraid, dark, scared, threshing floor,];tabriu [fodder crop,];0.017
adru [afraid, dark, scared, threshing floor,];adru [afraid, dark, scared, threshing floor,];0.016
adru [afraid, dark, scared, threshing floor,];tēlītu [produce, revenue,];0.013
adru [afraid, dark, scared, threshing floor,];mašādu [beat,];0.011
adru [afraid, dark, scared, threshing floor,];kirû [(fruit) plantation, garden,];0.011
adru [afraid, dark, scared, threshing floor,];būrtu [cistern, cow,];0.011
adru [afraid, dark, scared, threshing floor,];barārīti [evening watch,];0.01
adru [afraid, dark, scared, threshing floor,];palhu [fearful, fearful one, fearsome, fearsome one,];0.009
adru [afraid, dark, scared, threshing floor,];antallû [eclipse,];0.009
adru [afraid, dark, scared, threshing floor,];iltāni [north,];0.009
adru [afraid, dark, scared, threshing floor,];iltānu [north, north wind,];0.009
adru [afraid, dark, scared, threshing floor,];šadî [east,];0.009
adru [afraid, dark, scared, threshing floor,];gubbu [cistern,];0.009
adru [afraid, dark, scared, threshing floor,];šūti [south,];0.008
adru [afraid, dark, scared, threshing floor,];eqlu [area, field,];0.008
adru [afraid, dark, scared, threshing floor,];šīqu [(an illness), irrigation, levelling off (of grain in measuring vessel), watering,];0.008
adru [afraid, dark, scared, threshing floor,];Dapinu [Jupiter,];0.007
adru [afraid, dark, scared, threshing floor,];zakû [be(come) clear, clear, pure,];0.007
adru [afraid, dark, scared, threshing floor,];amurri [west,];0.007
adru [afraid, dark, scared, threshing floor,];šāt&&urri [who(m)&&daytime,];0.007
adru [afraid, dark, scared, threshing floor,];mazrūtu [(area or state of) cultivation,];0.007
